Vendor,Company,Industry,Region,Source_Type,Source_URL,Notes
Rasayel,Factorial HR,HR SaaS,Global (HQ Barcelona),Case study + testimonial,https://learn.rasayel.io/en/blog/success-stories/factorial-hr/,~100 sales agents on WhatsApp + HubSpot via Rasayel
Rasayel,Casita,Student housing,Global,Case study,https://learn.rasayel.io/en/blog/success-stories/casita/,Doubled sales; custom CRM integration
Rasayel,Qoyod,Accounting SaaS,Saudi Arabia,Case study,https://learn.rasayel.io/en/blog/success-stories/qoyod/,2X sales conversions; 70% time saved on routine tasks
Rasayel,Freeway Toyota,Auto dealership,California US,Case study,https://learn.rasayel.io/en/blog/success-stories/freeway-toyota/,Doubled sales; introduced by agency Blue Orange
Rasayel,Firstassist,Roadside and home assistance,South Africa,Case study,https://learn.rasayel.io/en/blog/success-stories/firstassist/,50%+ reduction in response and resolution times
Rasayel,Deco Mart,Vintage furniture e-commerce,,Case study,https://learn.rasayel.io/en/blog/success-stories/deco-mart/,25% ROI increase; 2X sales in 3 months
Rasayel,Digital Boost,Digital agency / Rasayel partner,,Partner case study,https://learn.rasayel.io/en/blog/success-stories/digital-boost/,Rasayel partner; doubled active client base
Rasayel,Unnamed fintech SaaS,Payments for online shops,Brazil / LATAM,Anonymous case study,https://learn.rasayel.io/en/blog/success-stories/saas-company/,30+ sales agents; WhatsApp + Salesforce integration
Rasayel,Blue Orange,Digital marketing agency,,Partner reference,https://learn.rasayel.io/en/blog/success-stories/freeway-toyota/,Partner; not end customer
Fibery,Lemonade,Insurance tech,US / EU,Customer story,https://fibery.com/customer-stories/lemonade,500+ employees; OKRs and dev planning
Fibery,Plex,Streaming / entertainment,Global,Customer story,https://fibery.io/customer-stories/plex,200+ employees; product marketing and dev
Fibery,Bamboo Agile,IT outsourcing,,Customer story,https://fibery.com/customer-stories,100-200 employees; leave management
Fibery,Masraff,Expense management SaaS,,Customer story,https://fibery.com/customer-stories,10-50 employees; roadmap and feedback
Fibery,Vandrouka,Game development,,Customer story,https://fibery.com/customer-stories,11-50 employees
Fibery,Dzeya,Marketing agency,,Customer story,https://fibery.com/customer-stories,1-10 employees; projects and finances
Fibery,Upsilon,Software development agency,,Customer story,https://fibery.com/customer-stories,50-100 employees; recruiting automation
Fibery,Smartwage,HR software,,Customer story,https://fibery.com/customer-stories,11-50 employees; user research
Fibery,Hyperflex,Software / NFT studio,,Customer story,https://fibery.com/customer-stories,11-50 employees
Fibery,Outfindo,E-commerce software,,Customer story,https://fibery.com/customer-stories,11-50 employees
Fibery,Geoalert,Satellite imagery software,,Customer story,https://fibery.com/customer-stories,11-50 employees; tasks docs and CRM
Fibery,Enkod,Marketing software,,Customer story,https://fibery.com/customer-stories,11-50 employees; sales CRM
Fibery,PowerX,Telecom software,,Customer story,https://fibery.com/customer-stories,11-50 employees
Fibery,KeyGuru,HoReCa hardware and software,,Customer story,https://fibery.com/customer-stories,11-50 employees; hardware production
Fibery,Conpago,Healthcare software,,Customer story,https://fibery.com/customer-stories,11-50 employees
Fibery,ScootAPI,Transportation software,,Customer story,https://fibery.com/customer-stories,11-50 employees
Fibery,Anything Connected,IoT hardware and software,,Customer story,https://fibery.com/customer-stories,1-10 employees
Fibery,Thundra,Software applications,,Customer story,https://fibery.com/customer-stories,11-50 employees; GitHub integration
