Provider,Provider_Type,Channel,Onboarding_Model,Step_1,Step_2,Step_3,Step_4,Step_5,Typical_Timeline,Inputs_Required,Pre_Bind_Requirements,Deliverables,Website,Source_URL,Notes
Klaimee,Provider_MGA,Direct (self-serve),Certification-first then bind,"Application (~7 min): describe agent use case and write-access scope","Evaluation: public data scan + 30-question governance assessment + 100+ adversarial behavioral probes (prompt injection jailbreak drift leakage bias)","Certification + Guarantee Pack: risk score evaluation report remediation recommendations Klaimee Certified badge","Bind AI agent liability policy + procurement-ready PDF for buyer legal teams","Optional: ongoing adversarial testing playground after certification",~24 hours to days (urgent enterprise deals supported),"Agent description; governance answers; agent endpoint or access for behavioral testing","Must pass behavioral evaluation; agent must be B2B bounded non-safety-critical (no AV/robotics)","Bound policy; certificate; guarantee pack; certification badge; evaluation report",https://www.klaimee.ai/,https://www.klaimee.ai/startups,YC P26; purpose-built for agentic AI; covers third-party and first-party harm; self-serve from day one
Mount,Provider_MGA,Direct (self-serve),Scan-then-insure,"Get a quote / connect deployed AI agent","Test your risk: real-time vulnerability scanning and risk scoring","Improve security: remediation recommendations and continuous hardening","Active Insurance: instant activation with dynamic pricing on AI-specific risks","Ongoing monitoring and incident response",~48 hours activation,"Production AI agent access for scanning; business and deployment details","Security scan and risk assessment precede or run in parallel with underwriting","ActiveCover policy; risk dashboard; remediation guidance",https://mount.insure/,https://mount.insure/,YC W25; Active Insurance model; 8 AI risk categories; collaborates with established insurance partners
Corgi,Provider_Carrier,Direct (self-serve),Standard startup insurance flow with AI module,"Start online quote: short questionnaire (~5 min) on stage structure activities financials","Instant quote (~10 min) for eligible companies OR manual underwriting review","Select coverages and limits (CGL D&O Tech E&O Cyber Tech & AI Liability etc.)","Bind coverage digitally","Generate COI same day",Same day (instant quote in ~10 min),"Company stage; revenue; headcount; AI product description; contract requirements","No agent-specific red-team required; AI risks covered via Tech & AI Liability module","Bound policy; certificate of insurance; policy documents",https://www.corgi.insure/ai,https://www.prnewswire.com/news-releases/corgi-insurance-launches-startup-program-with-instant-quoting-for-tech-companies-302664768.html,Full-stack carrier not broker; AI coverage is part of broader startup stack; covers hallucinations bias training-data disputes
Vouch,Provider_Broker,Direct (self-serve) + advisors,Standard tech-insurance intake + AI endorsement,"Self-serve application: 8-10 min questionnaire (business basics ownership activities cyber financials claims history)","Real-time underwriting runs in parallel; instant custom quote","Customize coverages limits; add AI Endorsement (Corix/Hiscox paper) for model-specific risks","Optional advisor review for complex requirements","Bind digitally with e-signature",Same day quoting (~81% same-day per Vouch); bind often within 24h,"Business details; AI product description; financials; existing coverage; enterprise contract requirements","No mandatory agent eval; AI endorsement adds affirmative AI E&O language","Tech E&O + optional AI Endorsement; D&O cyber as selected; COI",https://vouch.us/technology/ai,https://support.vouch.us/hc/en-us/articles/4498693504155-How-do-I-get-started,Does not underwrite; distributes to 800+ AI startups; AI endorsement on Hiscox/Corix paper
AIUC,Provider_MGA (certification + insurance unlock),Direct (self-serve) + audit support,Certification unlocks insurance,"Technical tests: adversarial evals (~24h for initial results)","Gap analysis / risk assessment across safety reliability data privacy accountability security","AIUC-1 certificate: audit support to meet enterprise standard","Insurance unlocked via certification (up to $50M); backed by partner insurers","Customer indemnity / enterprise confidence package for procurement",~24h eval results; full certification timeline varies,"AI agent access for testing; governance documentation; enterprise use-case details","Must pass AIUC-1 technical standard (5000+ tests for some customers like Intercom)","AIUC-1 certificate; insurance policy; enterprise-ready assurance documentation",https://aiuc.com/product,https://aiuc.com/product,Certification-first; insurance is downstream of AIUC-1; customers include ElevenLabs Intercom UiPath Ada
Armilla AI,Provider_MGA,Broker (surplus lines) or direct contact,Consultative risk assessment,"AI risk assessment to identify vulnerabilities and compliance gaps","Customize plan: Armilla Insured (liability insurance) OR Armilla Guaranteed (performance warranty)","Contact team / broker appointment for surplus lines placement","Underwriting review on Lloyd's paper (Chaucer Axis Convex capacity)","Bind policy or warranty agreement",Weeks (consultative; no published instant-bind),"AI model/system details; performance KPIs; deployment context; contractual obligations","Model validation and risk assessment required before coverage or warranty","Armilla Insured policy OR Armilla Guaranteed warranty; assessment documentation",https://www.armilla.ai/ai-insurance,https://www.armilla.ai/ai-insurance,Lloyd's coverholder; surplus lines; up to $25M limits; two products (insurance vs performance warranty)
Testudo,Provider_MGA,Broker only (e.g. Founder Shield),Broker-submitted fast underwriting,"Submit through existing broker (no direct application)","No stack audit: underwriters use public signals + disclosed application info (no pen test or AI eval required)","Human underwriter reviews exposure and prices policy","Price indication within 48 hours","Bind on Lloyd's A+ paper when ready",~48h to indication; bind after review,"Business description; generative AI deployment details; broker submission","No mandatory technical audit; human underwrites every policy","Generative AI liability policy (6 insuring agreements); modular drop-in for overlapping cyber/E&O",https://www.testudo.co/insurance,https://www.testudo.co/insurance,Broker-only; targets gen-AI deployers not just vendors; E&S lines all 50 US states
Founder Shield,Provider_Broker,Distributed via broker,Broker placement for Testudo,"Contact Founder Shield or apply online for Gen AI Liability coverage","Broker gathers business and AI deployment details","Submit to Testudo underwriting (Lloyd's capacity)","Review quote and customize modular coverage (drop overlapping agreements)","Bind through broker",~48h indication via Testudo engine,"Company info; AI use cases; existing insurance tower","No agent eval required at Testudo layer","Gen AI liability policy on Lloyd's paper",https://foundershield.com/coverage/generative-ai-liability-insurance/,https://foundershield.com/coverage/generative-ai-liability-insurance/,Distributes Testudo; does not underwrite; targets startups using third-party AI tools
Ollive,Provider_MGA (pre-insurance platform),Direct (demo / sales-led),Governance-first; insurance in development,"Assess: map agent workflows tools data access regulations → Agent Trust Score","Reduce: risk-focused evals (liability privacy bias prompt injection compliance)","Monitor: runtime logs traces drift alerts","Insure: AI E&O using governance evidence and Agent Trust Score (product developing)","Enterprise buyer-ready reports for procurement",Weeks+ (sales-led; insurance not fully live),"API endpoint staging sandbox observability traces; agent inventory and use-case context","Must complete risk evals and achieve sufficient Agent Trust Score before insurance conversations","Agent Trust Score; risk eval reports; remediation evidence; (future) AI E&O policy",https://ollive.ai/,https://ollive.ai/,Insurance product in development with capacity partners; currently pre-insurance readiness platform
Luphra,Provider_MGA,Waitlist only,N/A (pivoted),"Join waitlist","","","","",Not available for software AI agents,"N/A","N/A","N/A",https://www.luphra.com/,https://www.luphra.com/,Pivoted to humanoid robot insurance; not live for software AI agents as of 2026
