Company,Domain,Stage,Complaint_Summary,Source_URL,Complaint_Date
Uber,uber.com,Enterprise,"Burned entire 2026 AI coding budget by April; per-engineer costs $500–$2,000/mo on agentic tools; capped at $1,500/employee/tool.",https://www.developersdigest.tech/blog/enterprise-ai-coding-budget-blowouts-2026,2026-04
Microsoft,microsoft.com,Enterprise,Revoked Claude Code licenses across Experiences + Devices division; shifted engineers to Copilot CLI after token costs spiked.,https://advancedai.com/briefings/enterprise-ai-agent-token-cost-reckoning-2026/,2026-05
Walmart,walmart.com,Enterprise,Capped per-employee tokens on internal Code Puppy AI tool after employee demand exceeded budget projections.,https://www.businessinsider.com/walmart-ai-coding-tool-limit-duplicative-requests-2026-6,2026-06
Priceline,priceline.com,Enterprise,Cursor contract renewal came back 4–5x prior price; IT finance capping tokens by team and disputing vendor usage reports.,https://finance.yahoo.com/sectors/technology/articles/token-bill-comes-due-inside-144912278.html,2026-06
Salesforce,salesforce.com,Enterprise,Projecting $300M Anthropic token spend in 2026; built internal systems to tie every token to profitable outcomes after sticker shock.,https://www.businessinsider.com/marc-benioff-salesforce-anthropic-spend-tokens-slack-2026-5,2026-05
Coinbase,coinbase.com,Enterprise,"Internal AI usage went parabolic after Claude Opus 4.6; instituted $500–$5,000 weekly employee caps before shifting to cheaper model routing.",https://www.businessinsider.com/ai-companies-raising-prices-internal-token-limits-openai-anthropic-ipo-2026-6,2026-06
Amazon,amazon.com,Enterprise,Shut internal AI token leaderboard; employees ran wasteful agent loops to inflate usage stats as bills climbed.,https://fortune.com/2026/05/28/tokenmaxxing-is-dead-companies-didnt-get-the-roi-from-ai-they-wanted-to-see/,2026-05
Meta,meta.com,Enterprise,Removed internal tokenmaxxing leaderboard as variable AI compute costs became unsustainable at scale.,https://fortune.com/2026/05/28/tokenmaxxing-is-dead-companies-didnt-get-the-roi-from-ai-they-wanted-to-see/,2026-05
Deloitte,deloitte.com,Enterprise,Engineers report GitHub Copilot usage-based billing (June 2026) burning through monthly quotas in days; token caps disrupting workflows.,https://www.businessinsider.com/ai-companies-raising-prices-internal-token-limits-openai-anthropic-ipo-2026-6,2026-06
Booking Holdings,bookingholdings.com,Enterprise,Parent of Priceline; same Cursor renewal shock and enterprise token governance rollout across portfolio brands.,https://finance.yahoo.com/sectors/technology/articles/token-bill-comes-due-inside-144912278.html,2026-06
8090,8090.ai,Series A,"CEO Chamath Palihapitiya: AI costs tripled since Nov 2025 (AWS inference, Cursor, Anthropic); trending toward $10M/yr while revenue lags.",https://www.businessinsider.com/chamath-palihapitiya-ai-costs-tokens-8090-2026-3,2026-03
Lindy,lindy.ai,Series B,CEO Flo Crivello: raw API costs surpassed total payroll; ditched Claude for DeepSeek calling prior spend unsustainable.,http://www.singularitymoments.com/content/anthropic-faces-a-pricing-revolt-as-startups-ditch-claude/,2026-02
Pylon,usepylon.com,Series B,CEO Marty Kausas: Anthropic bill jumping $400K to $1.4M/yr at 150 seats; accidental $4K in 3 days on Claude Code; imposing spend limits.,https://www.businessinsider.com/pylon-ceo-tokenmaxxing-era-coming-to-end-ai-spend-limits-2026-6,2026-06
Yorby,yorby.ai,Seed,"Founder hit $13,999 Google Cloud bill in one month from unchecked LLM inference on viral-content feature; credits masked overspend.",https://frontiermodels.cc/video/vibecoding-cost-me-20000-and-heres-how-i-fixed-it/,2026-04
Turbo AI,turbo.ai,Series A,"Co-founder Sarthak Dhawan accidentally spent ~$30,000 on AI tokens in one month during rapid product iteration.",https://timesofindia.indiatimes.com/technology/tech-news/a-21-year-old-founder-accidentally-spent-30000-on-ai-tokens-in-a-month-heres-why-he-says-it-was-worth-every-dollar/articleshow/132303498.cms,2026-01
Vanta,vanta.com,Series C,CFO John McCauley publicly discussed AI cost crisis and need for spend governance as token bills outpaced forecasts.,https://www.growthunhinged.com/p/the-ai-cost-crisis-is-entirely-self-inflicted-and-fable-5-just-made-it-worse,2026-06
ClickUp,clickup.com,Series C,CFO Dan Zhang shared framework for controlling runaway AI token spend across GTM teams as usage-based bills surged.,https://www.growthunhinged.com/p/the-ai-cost-crisis-is-entirely-self-inflicted-and-fable-5-just-made-it-worse,2026-06
SentinelOne,sentinelone.com,Public,CFO Sonalee Parekh joined peer finance leaders flagging AI token cost crisis and need for ROI-linked budgets.,https://www.growthunhinged.com/p/the-ai-cost-crisis-is-entirely-self-inflicted-and-fable-5-just-made-it-worse,2026-06
Duolingo,duolingo.com,Public,SEC filings: gross margins fell 190bps due to GenAI compute on Max tier; CEO scrapped AI-usage performance metric after tokenmaxxing backlash.,https://www.classcentral.com/report/genai-costs-hurt-duolingo-margins/,2025-11
