List_Type,Company,Product_or_Coverage,Relationship_to_E_and_O,Region,Website,Source_URL,Distributed_By,Notes
Provider_MGA,Klaimee,AI Agent Insurance + Certification + Guarantee,Purpose-built agentic AI liability (beyond standard Tech E&O),Global,https://www.klaimee.ai/,https://www.klaimee.ai/,,YC-backed; covers third-party and first-party agent harm; behavioral underwriting
Provider_MGA,Mount,Active Insurance / Mount AI Liability Policy,Purpose-built AI agent liability carrier,US,https://mount.insure/,https://www.ycombinator.com/companies/mount,,YC W25; scan/red-team + insure autonomous agents in production
Provider_MGA,Luphra,AI Agent Insurance + LP-SEC certification,Purpose-built AI agent coverage,Global,https://www.luphra.com/,https://www.luphra.com/,,Risk assessment certification and dynamic premiums
Provider_MGA,Ollive,AI Risk Evals + AI E&O Insurance (capacity partners),AI E&O tied to Agent Trust Score governance,Global,https://ollive.ai/,https://ollive.ai/,,Insurance product in development with underwriting partners
Provider_MGA,Armilla AI,Armilla Insured — standalone AI Liability Insurance,Affirmative AI liability (not retrofitted cyber/E&O),Global,https://www.armilla.ai/,https://www.armilla.ai/ai-insurance,,Lloyd's coverholder; up to $25M limits; capacity from Chaucer Axis Convex
Provider_MGA,AIUC,AIUC-1 certification + AI agent insurance,Certification unlocks AI-specific insurance up to $50M,Global,https://aiuc.com/,https://aiuc.com/product,,Adversarial testing standard; partners with insurers for agent policies
Provider_MGA,Testudo,Generative AI Liability Insurance (Lloyd's syndicates),Standalone third-party gen-AI liability (fills E&O/CGL gaps),US,https://www.testudo.co/insurance,https://www.testudo.co/insurance,Founder Shield,E&S lines on Lloyd's paper; modular drop-in for overlapping cyber/E&O
Provider_Broker,Vouch,AI Insurance + AI Endorsement with Corix/Hiscox,Specialized Tech E&O extension for AI risks,US,https://vouch.us/technology/ai,https://www.prnewswire.com/news-releases/ai-startups-move-faster-with-ai-insurance-first-of-its-kind-coverage-for-new-ai-risks-302047320.html,,Does not underwrite; distributes AI Insurance to startups; 800+ AI companies; AI endorsement on Hiscox/Corix paper
Capacity_Carrier,Hiscox,AI endorsement capacity (via Corix),Affirmative AI E&O endorsement underwriting,Global,https://www.hiscox.com/,https://vouch.us/technology/ai,Vouch,Acquired Corix from Vouch; backs Vouch AI Endorsement for model performance bias IP regulatory defense
Capacity_Carrier,Corix (Hiscox division),AI endorsement underwriting,Affirmative AI E&O endorsement on Hiscox paper,US,https://vouch.us/technology/ai,https://vouch.us/technology/ai,Vouch,Now part of Hiscox; historically Vouch's underwriting arm for AI-specific risks
