Vendor,Customer,Source_URL,Notes
Rex,Synthesia,https://www.rex.inc/customers/synthesia,AR/AP automation case study
Superglue,Cedar,https://superglue.ai/case-studies,Customer onboarding automation
Nanonets,Schneider Electric,https://nanonets.com/customers/schneider-electric,PR-to-quote verification
Nanonets,Roche,https://nanonets.com/customers/roche,Greek hospital PO automation
Nanonets,Mondelez,https://nanonets.com/customers,Freight invoice automation
Nanonets,UniPro Foodservice,https://nanonets.com/customers,Order processing automation
Nanonets,Asian Paints,https://nanonets.com/customers,Vendor payment automation
Nanonets,SaltPay,https://nanonets.com/customers,SAP invoice automation
Spaceflow,Tavuk Dünyası,https://spaceflow.tech/,Procurement RFQ
Spaceflow,Dürümle,https://spaceflow.tech/,Procurement
Spaceflow,Doğuş Teknoloji,https://spaceflow.tech/,Procurement
Spaceflow,Filo Dolio,https://spaceflow.tech/,Procurement
TRM Labs,Coinbase,https://www.trmlabs.com/resources/case-studies,Crypto compliance
TRM Labs,Circle,https://www.trmlabs.com/resources/blog/trm-labs-announces-70m-series-c,Blockchain compliance
TRM Labs,Cross River Bank,https://www.trmlabs.com/resources/blog/trm-labs-announces-70m-series-c,Banking compliance
TRM Labs,PayPal,https://www.trmlabs.com/resources/blog/trm-labs-launches-beacon-network,Payments compliance
TRM Labs,Robinhood,https://www.trmlabs.com/resources/blog/trm-labs-launches-beacon-network,Trading platform
TRM Labs,Stripe,https://www.trmlabs.com/resources/blog/trm-labs-announces-70m-series-c,Payments
TRM Labs,Visa,https://www.trmlabs.com/resources/blog/trm-labs-announces-70m-series-c,Payments network
TRM Labs,Kraken,https://www.trmlabs.com/resources/blog/trm-labs-launches-beacon-network,Crypto exchange
TRM Labs,Ripple,https://www.trmlabs.com/resources/blog/trm-labs-launches-beacon-network,Blockchain payments
TRM Labs,Crypto.com,https://www.trmlabs.com/resources/blog/trm-labs-launches-beacon-network,Crypto exchange
TRM Labs,OKX,https://www.trmlabs.com/resources/blog/trm-labs-launches-beacon-network,Crypto exchange
TRM Labs,HIFI,https://www.trmlabs.com/resources/case-studies,Stablecoin infrastructure
Giga,DoorDash,https://giga.ai/doordash,AI customer support
SalesPatriot,Jamaica Bearings Group,https://salespatriot.com/,Defense supply chain
SalesPatriot,AllClear Aerospace,https://salespatriot.com/,Defense supply chain
SalesPatriot,STATZ Corporation,https://salespatriot.com/,Defense supply chain
SalesPatriot,Maven Engineering Corporation,https://salespatriot.com/,Defense supply chain
SalesPatriot,Echelon Supply and Service,https://salespatriot.com/,Defense supply chain
QueryPie,LG Uplus,https://www.querypie.com/en,DB access governance
QueryPie,AIR Company Limited,https://www.querypie.com/en,DB access governance
Cozmo AI,Nestlé,https://www.ycombinator.com/launches/PUt-cozmo-ai,Enterprise voice AI
Tasklet,Piping Technology & Products,https://tasklet.ai/learn/case-studies/piping-technology-products,Manufacturing ERP
