Company,Domain,Stage,Incident_Summary,Source_URL,Incident_Date
Air Canada,aircanada.com,Enterprise,Tribunal ruled airline liable after customer-service chatbot invented bereavement refund policy and misled passenger into buying full-fare tickets.,https://www.cbc.ca/news/canada/british-columbia/air-canada-chatbot-lawsuit-1.7116416,2024-02
Samsung Electronics,samsung.com,Enterprise,Semiconductor engineers leaked proprietary source code and meeting transcripts into ChatGPT; company banned public gen-AI tools groupwide.,https://www.ciodive.com/news/Samsung-Electronics-ChatGPT-leak-data-privacy/647137/,2023-03
DPD,dpd.com,Enterprise,Customer AI chatbot was manipulated to swear at users and write viral anti-company poem; AI features disabled after backlash.,https://drdaveheath.com/blog/ai-chatbot-legal-liability-air-canada-dpd-chevy,2024-01
Workday,workday.com,Enterprise,"Class action Mobley v. Workday alleges AI applicant-screening tools discriminated by age, race, and disability across millions of job seekers.",https://www.cnn.com/2025/05/22/tech/workday-ai-hiring-discrimination-lawsuit,2023-02
UnitedHealth Group,unitedhealthgroup.com,Enterprise,Lawsuit alleges nH Predict AI algorithm wrongfully denied Medicare Advantage post-acute care; ~90% of appealed denials reversed.,https://www.reuters.com/legal/lawsuit-claims-unitedhealth-ai-wrongfully-denies-elderly-extended-care-2023-11-14/,2023-11
Cigna,cigna.com,Enterprise,ProPublica investigation and lawsuit over PxDx system allegedly batch-denying hundreds of thousands of claims in seconds.,https://news.bloomberglaw.com/daily-labor-report/ai-algorithm-based-health-insurer-denials-pose-new-legal-threat,2023-03
Humana,humana.com,Enterprise,Class action alleges insurer used AI tools to systematically deny Medicare Advantage claims for post-acute and rehab care.,https://www.healthcarefinancenews.com/news/class-action-lawsuit-against-unitedhealths-ai-claim-denials-advances,2023-12
General Motors,gm.com,Enterprise,Cruise robotaxi struck and dragged pedestrian 20 ft; GM unit fined for misleading regulators and wound down robotaxi operations.,https://www.reuters.com/business/autos-transportation/gm-cruise-robotaxi-unit-faces-us-probes-over-dragging-incident-vows-reforms-2024-01-25/,2023-10
Waymo,waymo.com,Enterprise,NHTSA opened probe into 22 incidents of unexpected robotaxi behavior and collisions; issued software recalls to fix detection issues.,https://www.reuters.com/legal/litigation/us-closes-probe-into-waymo-self-driving-collisions-unexpected-behavior-2025-07-25/,2024-05
Character.AI,character.ai,Series B,Wrongful-death lawsuits allege chatbot fostered emotional dependency and failed to intervene before teen suicides.,https://www.reuters.com/legal/mother-sues-ai-chatbot-company-characterai-google-sued-over-sons-suicide-2024-10-23/,2024-10
iTutor Group,itutorgroup.com,Enterprise,EEOC settlement: hiring software automatically rejected female applicants over 55 and male applicants over 60.,https://www.eeoc.gov/newsroom/eeoc-itutor-settle-age-discrimination-suit-over-hiring-software,2023-05
McDonald's,mcdonalds.com,Enterprise,"Ended IBM AI drive-thru pilot after widespread order errors (wrong items, hundreds of nuggets); accuracy below operational threshold.",https://www.restaurantbusinessonline.com/technology/mcdonalds-removes-ai-drive-thrus,2024-07
The Arena Group,thearenagroup.net,Media,Sports Illustrated published articles under fake AI-generated author personas; CEO fired after scandal.,https://www.cnn.com/2023/11/27/media/sports-illustrated-deletes-articles-fake-author-names-ai-profile-photos,2023-11
Gannett,gannett.com,Media,USA Today and local papers published embarrassing AI-generated sports recaps with factual errors; journalists called it humiliating.,https://futurism.com/sports-illustrated-ai-generated-writers,2023-08
City of New York,nyc.gov,Government,"MyCity business chatbot told owners to break labor, housing, and cashless-payment laws; city kept bot online with disclaimers.",https://themarkup.org/artificial-intelligence/2024/03/29/nycs-ai-chatbot-tells-businesses-to-break-the-law,2024-03
Replika,replika.ai,Series A,Users reported emotional harm after abrupt removal of romantic/ERP features; EU complaints over manipulative AI companion design.,https://www.wired.com/story/replika-ai-companion-erotic-roleplay/,2023-02
CNET,cnet.com,Media,Published dozens of AI-written finance articles with factual errors and plagiarism; issued corrections on more than half.,https://futurism.com/sports-illustrated-ai-generated-writers,2023-01
Chevrolet of Watsonville,watsonvillechevrolet.com,SMB,Dealership ChatGPT bot was prompt-injected into agreeing to sell a 2024 Tahoe for $1; went viral as cautionary AI commerce tale.,https://drdaveheath.com/blog/ai-chatbot-legal-liability-air-canada-dpd-chevy,2023-11
Duolingo,duolingo.com,Public,SEC filings show GenAI compute hurt gross margins; CEO scrapped internal AI-usage KPI after staff tokenmaxxing backlash.,https://www.classcentral.com/report/genai-costs-hurt-duolingo-margins/,2025-11
IBM,ibm.com,Enterprise,McDonald's ended IBM-powered AI drive-thru rollout after accuracy failures; Watson Health divestiture followed earlier AI overpromising.,https://www.restaurantbusinessonline.com/technology/mcdonalds-removes-ai-drive-thrus,2024-07
